idiom,meaning
길 이 닿,어떤 일 을 하 기 위하 ᆫ 관계 가 맺 어 지
길 바쁘,목적 하 는 곳 까지 빨리 가 야 하 ᆯ 사정 이
길 이 바쁘,목적 하 는 곳 까지 빨리 가 야 하 ᆯ 사정 이
길 게 눕,사람 이 죽 어 땅 속 에 묻히
길 게 늘어놓,군 더더기 를 덧붙이 면서 오래 말 하
길 게 앉,눕
길 눈 밝,길 을 잘 기억 하
길 눈 이 밝,길 을 잘 기억 하
길 눈 어둡,길 을 잘 기억 하 지 못하
길 눈 이 어둡,길 을 잘 기억 하 지 못하
기르 어 내 ᆫ 사위,독창 성 이 없 고 어리석 은 사람
길 을 열,방도 를 찾아내 거나 마련 하
길 을 재촉 하,빨리 가 ᆯ 것 을 요구 하
길 이 늦,길 을 떠나 아 목적 지 에 닿 는 시간 이 늦 어 지
길 이 더디,길 을 떠나 아 목적 지 에 닿 는 시간 이 늦 어 지
길 이 붇,걸음 이 빠르 아 지 어 지나오 ᆫ 거리 가 부쩍부쩍 불어나
길 이 열리,어떤 일 을 하 게 되 거나 전망 이 보이
길 품 팔,아무 보람 없이 헛 길 을 걷
길 품 을 팔,아무 보람 없이 헛 길 을 걷
김 이 식,재미 나 의 욕 이 없 어 지
깃 주,짚 이나 마른 풀 을 깔 아 주
깃 을 주,짚 이나 마른 풀 을 깔 아 주
깃 발 날리,떵떵거리 며 행세 하
깃 발 을 날리,떵떵거리 며 행세 하
깃 을 다듬,새 가 부리 로 제 날 개 의 털 을 매만지
깍지 끼,열 손 가락 을 서로 엇갈리 게 바짝 맞추 어 끼
깍지 를 끼,열 손 가락 을 서로 엇갈리 게 바짝 맞추 어 끼
깍지 떼,깍지 를 끼 ᆫ 엄지 손 가락 으로 팽팽 하 게 당기 ᆫ 활 시위 를 놓
깍지 를 떼,깍지 를 끼 ᆫ 엄지 손 가락 으로 팽팽 하 게 당기 ᆫ 활 시위 를 놓
깍짓 손 떼,깍지 를 끼 ᆫ 엄지 손 가락 으로 팽팽 하 게 당기 ᆫ 활 시위 를 놓
깍짓 손 을 떼,깍지 를 끼 ᆫ 엄지 손 가락 으로 팽팽 하 게 당기 ᆫ 활 시위 를 놓
깎 은 밤 같,젊 은 남자 가 말쑥 하 고 단정 하 게 차려입 은 모습
깔 종 잡,깔 종 을 헤아리 어 추측 하
깔 종 을 잡,깔 종 을 헤아리 어 추측 하
깜빡 가,지나치 게 좋 아 하 거나 중요 하 게 생각 하 여 사리 분별 을 못 하
깜빡 죽,지나치 게 좋 아 하 거나 중요 하 게 생각 하 여 사리 분별 을 못 하
깝대기 벗기,가지 ᆫ 것 을 모두 빼앗
깝대기 를 벗기,가지 ᆫ 것 을 모두 빼앗
깡통 차 이 다,빌어먹 는 신세 가 되
깡통 을 차,빌어먹 는 신세 가 되
깨 가 쏟아지,몹시 아기 자기 하고 재미 가 나
깨 소금 맛,몹시 통쾌 하
깨어지 ᆫ 그릇,다시 본래 대로 바로잡 거나 돌이키 ᆯ 수 없 는 일
깨어지 ᆫ 시루,다시 본래 대로 바로잡 거나 돌이키 ᆯ 수 없 는 일
깨 춤 추,몸 이 작 은 사람 이 톡톡 까불 어 대
깨 춤 을 추,몸 이 작 은 사람 이 톡톡 까불 어 대
꺽짓 손 세,사람 을 휘어잡 고 어렵 ᆫ 일 을 해내 ᆯ 만 하 ᆫ 수단 이 있
꺽짓 손 이 세,사람 을 휘어잡 고 어렵 ᆫ 일 을 해내 ᆯ 만 하 ᆫ 수단 이 있
꺾 자 치,취소 하 아 버리
꺾 자 를 치,취소 하 아 버리
꺾 자 놓,취소 하 아 버리
껌뻑 죽,지나치 게 좋 아 하 거나 중요 하 게 생각 하 여 사리 분별 을 못 하
껴잡 아 살,처지 가 어렵 ᆫ 사람 을 돕 기 위하 여 자기 집 에 들이 어 더불 어 살
꼬리 길,방문 을 닫 지 않 고 드나들
꼬리 가 길,방문 을 닫 지 않 고 드나들
꼬리 감추,자취 를 감추
꼬리 를 감추,자취 를 감추
꼬리 내리,기세 가 꺾이 어 물러서 거나 움츠러들
꼬리 를 내리,기세 가 꺾이 어 물러서 거나 움츠러들
꼬리 달,어떠 하 ᆫ 것 에 보태 어 말 하
꼬리 를 달,어떠 하 ᆫ 것 에 보태 어 말 하
꼬리 물,계속 이 어 지
꼬리 를 물,계속 이 어 지
꼬리 밟히,행적 을 들키
꼬리 를 밟히,행적 을 들키
꼬리 사리,겁 이 나 서 슬금슬금 피하 거나 움츠러들
꼬리 를 사리,겁 이 나 서 슬금슬금 피하 거나 움츠러들
꼬리 숨기,자취 를 감추
꼬리 를 숨기,자취 를 감추
꼬리 잡,감추 고 있 는 것 을 알아내
꼬리 를 잡,감추 고 있 는 것 을 알아내
꼬리 치,아양 을 떨
꼬리 를 치,아양 을 떨
꼬리 흔들,잘 보이 려고 아양 을 떨
꼬리 를 흔들,잘 보이 려고 아양 을 떨
꼬리 가 드러나,정체 가 알리 어 지 거나 밝히 어 지
꼬리 가 밟히,행적 이 드러나
꼬리 가 빠지 게,몹시 빨리 도망치 거나 달아나
꼬리 를 대,앞 뒤 로 서로 이 어 대
꼬리 를 드러내,정체 를 알리 거나 밝히
꼬리 를 맞물,앞 뒤 로 서로 이어 닿
꼬리 를 밟,뒤 를 밟
꼬리 를 빼,달아나 거나 도망치
꼬리 에 꼬리 를 물,계속 이 어 지
꼬리 표 붙,나쁘 ᆫ 평가 나 평판 이 내려지
꼬리 표 가 붙,나쁘 ᆫ 평가 나 평판 이 내려지
꼬리 표 를 달,나쁘 ᆫ 평가 나 평판 이 내려지
꼬부랑 늙 은 이,아주 나이 가 많 고 늙 었 음
꼬집 어 말 하,분명 하 게 꼭 집 어서 말 하
꼭뒤 누르,세력 이나 힘 이 위 에서 누르
꼭뒤 를 누르,세력 이나 힘 이 위 에서 누르
꼭뒤 눌리,세력 이나 힘 에 눌리
꼭뒤 를 눌리,세력 이나 힘 에 눌리
꼭뒤 지르,세력 이나 힘 이 위 에서 누르
꼭뒤 를 지르,세력 이나 힘 이 위 에서 누르
꼭뒤 질리,세력 이나 힘 에 눌리
꼭뒤 를 질리,세력 이나 힘 에 눌리
꼭뒤 에 피 도 안 마르,나이 가 어리
꼭지 따,처음 으로 시작 하
꼭지 를 따,처음 으로 시작 하
꼭지 가 무르,기회 가 완전히 무르익
꼴 이 박히,어떤 모양 이 제대로 이루어지 어 나타나
꼼짝 못 하,조금 도 기 를 펴 지 못하
꼼짝 아니 하,자기 뜻 을 나타내 거나 반항 하 지 아니하
꼼짝 아 니 않,자기 뜻 을 나타내 거나 반항 하 지 아니하
꽁무니 빠지 게,몹시 빨리 도망치 거나 달 아 나 ᄆ
꽁무니 가 빠지 게,몹시 빨리 도망치 거나 달 아 나 ᄆ
꽁무니 빼,슬그머니 피하 여 물러나
꽁무니 를 빼,슬그머니 피하 여 물러나
꽁무니 사리,슬그머니 피하 려 하 거나 달아나 려 하
꽁무니 를 사리,슬그머니 피하 려 하 거나 달아나 려 하
꽁무니 를 따라다니,이익 을 바라 고 부지런히 바싹 따라다니
꽁지 빠지 게,몹시 빨리 도망치 거나 달 아 나 ᄆ
꽁지 가 빠지 게,몹시 빨리 도망치 거나 달 아 나 ᄆ
꽁지 내리,상대 편 에게 기세 가 꺾이 어 물러서 거나 움츠러들
꽁지 를 내리,상대 편 에게 기세 가 꺾이 어 물러서 거나 움츠러들
꽉 잡 고 있,주도 권 을 차지 하 고 있
꿀 단지 를 파묻 어 놓,좋 은 것 을 감추 어 두
꿀 단지 를 묻 어 놓,좋 은 것 을 감추 어 두
꿀 밤 먹,머리 에 꿀 밤 을 맞
꿀 밤 을 먹,머리 에 꿀 밤 을 맞
꿈 깨,희망 을 낮추 거나 버리
꿈 을 깨,희망 을 낮추 거나 버리
꿈 나라 로 가,잠 이 깊이 들
꿈 도 못 꾸,전혀 생각 도 하 지 못하
꿈 도 안 꾸,전혀 생각 도 안 하
꿈 도 야무지,희망 이 너무 크 어 실현 가능 성 이 없
꿈 에 도 생각 하 지 못하,전혀 생각 하 지 못하
꿈 에 도 없,생각 조차 하 아 보 ᆫ 일 이 없
꿈 에 밟히,잊히 지 아니하 여 꿈 에 나타나
꿈 이 ᆫ지 생시 이 ᆫ지,생 각지 도 못하 ᆫ 뜻 밖 의 일 에 부닥치 어 어찌 하 ᆯ 바 를 모르 겠
꿈쩍 안 하,자기 의 뜻 을 굽히 지 아니하
꿈쩍 아니 하,자기 의 뜻 을 굽히 지 아니하
꿈 쩍 도 안 하,자기 의 뜻 을 굽히 지 아니하
꿈 쩍 도 아니 하,자기 의 뜻 을 굽히 지 아니하
꿈쩍 못 하,남 의 힘 이나 위엄 에 눌리 어 기 를 펴 지 못하
끄떡 않,조금 이 라도 움직이 거나 동요 하 지 아니하 고 버티
끄떡 도 않,조금 이 라도 움직이 거나 동요 하 지 아니하 고 버티
끈 붙이,살아가 ᆯ 길 을 마련 하 여 주
끈 을 붙이,살아가 ᆯ 길 을 마련 하 여 주
끈 떨어지,붙들 고 살아가 던 길 이 끊 어 지
끈 이 떨어지,붙들 고 살아가 던 길 이 끊 어 지
끈 붙,붙들 고 살아가 ᆯ 길 이 생기
끈 이 붙,붙들 고 살아가 ᆯ 길 이 생기
끌 로 박 은 듯,조금 도 움직이 지 않 고 꼿꼿 하 게 서 어 있 는 모습
끗 발 세,기세 가 당당 하
끗 발 이 세,기세 가 당당 하
끗 발 좋,기세 가 당당 하
끗 발 이 좋,기세 가 당당 하
끝 가 ᆫ 데 없,끝 이 보이 지 않 을 정도 로 까마득 하
끝 을 보,일 을 끝맺
끝 이 가 아 도 없,갈피 를 잡 을 수 없 을 만큼 복잡 하 고 많
끝 이 보이,일 이나 관계 가 끝나
끝 장 보다,끝 장 이 나 게 하
끝 장 을 보,끝 장 이 나 게 하
끝 장 쥐,뒷 일 을 맡
끝 장 을 쥐,뒷 일 을 맡
나그네 노릇,떠돌이 로 생활 하 면서 여기 저기 신세 지 며 사 는 일
나그네 세상,덧없 는 세상
나래 펴,"생각 , 감정 , 기세 따위 를 힘차 게 펼치"
나래 를 펴,"생각 , 감정 , 기세 따위 를 힘차 게 펼치"
나 모르 아라 하,무 관심 하 ᆫ 태도 로 상관 하 지 도 아니하 고 간섭 하 지 도 아니하
나무라 ᄆ 타,꾸짖 음 을 받 아 언짢아하
나무람 을 타,꾸짖 음 을 받 아 언짢아하
나발 불,병 째 로 마시
나발 을 불,병 째 로 마시
나사 죄,해이 하 아 지 ᆫ 마음 을 가다듬 고 정신 을 다 잡
나사 를 죄,해이 하 아 지 ᆫ 마음 을 가다듬 고 정신 을 다 잡
나사 가 빠지,정신 이 없
나사 가 풀리,정신 상태 가 해이 하
나사 가 풀 어 지,정신 상태 가 해이 하 아 지
나이 아깝,나이 에 어울리 지 아니하 게 유치 하
나이 가 아깝,나이 에 어울리 지 아니하 게 유치 하
나 죽 었 소 하,있 어도 없 는 듯이 처신 하
나팔 불,터무니없이 과장 하 여 말 을 하
나팔 을 불,터무니없이 과장 하 여 말 을 하
낙동 강 오 리알,무리 에서 떨어지 어 나오 거나 홀로 소외 되 어 처량 하 게 되 ᆫ 신세
낙양 의 지가 를 올리,책 이 매우 잘 팔리
낙양 의 지 가 紙價 를 올리,책 이 매우 잘 팔리
낚시 를 던지,남 을 꾀어내 기 위하 ᆫ 수단 을 쓰
나 ᆫ 다 기 ᆫ다 하,재주 나 능력 이 남 보다 뛰어나
난든 집 나,손 에 익숙 하 여 지
난든 집 이 나,손 에 익숙 하 여 지
난 을 치,난초 를 그리
난장 을 치,함부로 마구 떠들
난전 을 치,난전 을 단속 하 여 물건 을 빼앗 고 사람 을 잡아가
난초 를 치,난초 를 그리
난탕 치,무 질서 하 고 난잡 스럽 게 마구 행동 하
난탕 을 치,무 질서 하 고 난잡 스럽 게 마구 행동 하
낟 알 구경 을 하,오래간 만 에 밥 을 먹 어 보
나 ᆯ 가리,길일 을 가리 어 잡
날 을 가리,길일 을 가리 어 잡
나 ᆯ 받,결혼 식 날 짜 를 정하
날 을 받,결혼 식 날 짜 를 정하
나 ᆯ 세우,정신 을 집중 하
날 을 세우,정신 을 집중 하
나 ᆯ 잡,결혼 식 날 짜 를 정하
날 을 잡,결혼 식 날 짜 를 정하
나 ᆯ 새,일 을 이루 ᆯ 시기 가 이미 지나 아 가망 이 없
날 이 새,일 을 이루 ᆯ 시기 가 이미 지나 아 가망 이 없
나 ᆯ 서,성격 이 날카롭
날 이 아서 이,성격 이 날카롭
날 개 돋치,빠르 ᆫ 속도 로 팔리 어 나가
날 개 가 돋치,빠르 ᆫ 속도 로 팔리 어 나가
날 개 펴,기세 를 힘차 게 펼치
날 개 를 펴,기세 를 힘차 게 펼치
나 ᆯ 것 같,몸 이나 마음 이 매우 가볍
날 로 먹,힘 을 들이 지 아니하 고 일 을 하 아 내
날 밤 새우,부질 없이 괜히 자 지 아니하 고 밤 을 새우
날 밤 을 새우,부질 없이 괜히 자 지 아니하 고 밤 을 새우
날 을 지우,일 을 하 며 하루 를 보내
날 이 면 날 마다,매일 매일 의 모든 날 에
날탕 치,마구 잡 이나 주먹 치기 로 하
날탕 을 치,마구 잡 이나 주먹 치기 로 하
날 품 팔,하루하루 품 삯 을 받 고 일 하
날 품 을 팔,하루하루 품 삯 을 받 고 일 하
남 대문 열리,바지 의 앞 쪽 지퍼 나 단추 가 열리 어 있
남 대문 이 열리,바지 의 앞 쪽 지퍼 나 단추 가 열리 어 있
남 대문 구멍 같,구멍 이 매우 크
남북 나,머리 통 의 앞 뒤 가 쑥 나오
남북 이 나,머리 통 의 앞 뒤 가 쑥 나오
남상 지르,여자 가 남자 얼굴 처럼 생기
남상 을 지르,여자 가 남자 얼굴 처럼 생기
남 에 없 는,남다르 게 아주 특별 하 거나 극심 하 ᆫ
남의 등 치 어 먹,악독 하 고 교활 하 ᆫ 짓 으로 남 의 것 을 빼앗
남의 등 을 치 어 먹,악독 하 고 교활 하 ᆫ 짓 으로 남 의 것 을 빼앗
남 의 말 하,이러쿵저러쿵 남 에 대하 여 뒷 말 을 하 거나 시비 하
남 의 말 을 하,이러쿵저러쿵 남 에 대하 여 뒷 말 을 하 거나 시비 하
남 의 밑 에 들,남 보다 뒤떨어지
남 의 밑 에 들어가,남 에게 부리 ᄆ 을 당하 면서 일 하
남 의 집 을 살,남 의 집 에서 먹 고 자 면서 일 을 하 아 주
남 좋 은 일 을 하,일 을 하 ᆫ 결과 가 자기 에게 는 아무 이득 이 없 고 남 에게 만 이롭 게 하
남 좋 은 일 을 시키,일 을 하 ᆫ 결과 가 자기 에게 는 아무 이득 이 없 고 남 에게 만 이롭 게 하
납작 코 가 되,자존 심 이 손상 되
낫 기 는 개 코 가 낫 ㅏ,조금 도 낫 ᆯ 것 이 없 음
낫 살 이나 건사 하,나이 가 들
낭패 보다,낭패 를 당하
낭패 를 보,낭패 를 당하
낮 과 밤 을 잊,시간 이 가 는 줄 모르
낮 과 밤 이 따로 없,일 을 쉬 지 않 고 계속 하
낮 이 고 밤 이 고,언제나 늘
낮 이나 밤 이나,언제나 늘
낮 잠 자 이 다,하 아야 하 ᆯ 일 을 하 지 아니하 고 태평 하 게 있
낯 들,남 을 떳떳이 대하
낯 을 들,남 을 떳떳이 대하
낯 두껍,부끄러움 을 모르 고 염치 가 없
낯 이 두껍,부끄러움 을 모르 고 염치 가 없
낯 가죽 두껍,부끄러움 을 모르 고 염치 가 없
낯 가죽 이 두껍,부끄러움 을 모르 고 염치 가 없
낯 가죽 얇,부끄러움 을 잘 타
낯 가죽 이 얇,부끄러움 을 잘 타
낯 바닥 이 땅 두께 같,도무지 부끄러움 을 모르 고 염치 가 없
낯 바닥 이 홍 당무 같,부끄럽 거나 무안 하 여 얼굴 이 붉어지 어 있
낯 바닥 이 홍 동지 같,부끄럽 거나 무안 하 여 얼굴 이 붉어지 어 있
낯설 고 물설,모든 것 이 매우 낯설 고 서먹서먹 하
낯 을 돌리,상대 하 지 아니하 고 얼굴 을 돌리
낯 을 못 들,창피 하 여 남 을 떳떳이 대하 지 못하
낯 을 보,체면 을 고려 하
낯 이 깎이,체면 이 손상 되
낯 이 넓,아 는 사람 이 많
낯 이 있,안면 이 있
낯 짝 두껍,낯 두껍
낯 짝 이 두껍,낯 두껍
낯 짝 이 소 가죽 보다 더 두껍,부끄러움 이나 염 하 지 가 전혀 없
나 의 말 이 그 말,상대 방 이 말 하 ᆫ 견해 나 제안 을 찬성 하 ᄆ
나 의 말 이 그 말 이,상대 방 이 말 하 ᆫ 견해 나 제안 을 찬성 하 ᄆ
낼모레 동동,주 ᆫ다는 약속 날 짜 에 주 지 않 고 차일피일 미루 기 만 하 ᆫ다
냉 치,냉병 을 다스리
냉 을 치,냉병 을 다스리
냉 받치,몸 속 에서 냉기 가 올라오
냉이 받치,몸 속 에서 냉기 가 올라오
냉수 를 끼얹 는 것 같,순조 롭 게 진행 되 는 일 을 진행 되 지 못하 도록 방해 하
냉수 맛 같,아무 맛 도 없
너구리 잡,담배 를 태우 어 연기 를 많이 내
너구리 를 잡,담배 를 태우 어 연기 를 많이 내
너 나 하 ᆯ 것 없이,누구 를 가리 ᆯ 것 없이 모두
너 는 너 고 나 는 나,서로 같 지 않 고 자기 식대 로 하 ᆫ다
너 이 니 내 니 하,서로 책임 을 안 지 려고 하
너리 먹,잇 몸 이 헐 어 헤지 어 들어가
너리 가 먹,잇 몸 이 헐 어 헤지 어 들어가
너 면 너 고 나 면 나,남 에 대하 여 전혀 무 관심 하 고 자기 의 이익 만 채우 는 이기 적 이 ᆫ 태도
너울 을 쓰,속 이나 진짜 내용 은 그렇 지 않 으면서 그러 ㄹ 듯 하 게 좋 은 명색 을 내걸
너 죽 고 나 죽,사생 결단 하 고 맞서 어 싸우
넋 놓,제 정신 을 잃 고 멍하 ᆫ 상태 가 되
넋 을 놓,제 정신 을 잃 고 멍하 ᆫ 상태 가 되
넋 잃,제 정신 을 잃 고 멍하 ᆫ 상태 가 되 거나 정신 을 잃
넋 을 잃,제 정신 을 잃 고 멍하 ᆫ 상태 가 되 거나 정신 을 잃
넋 나가,아무 생각 이 없 거나 정신 을 잃
넋 이 나가,아무 생각 이 없 거나 정신 을 잃
넋 없,제 정신 이 없이 멍 하
넋 이 없,제 정신 이 없이 멍 하
넋 이 야 신 이,하 고 싶 은 말 을 거침없이 마구 털어놓 음
넋 이 오르,흥 이나 열 이 오르
넌더리 대,넌더리 가 나 게 굴
넌더리 를 대,넌더리 가 나 게 굴
넙치 가 되 도록 얻어맞,몹시 얻어맞
넙치 가 되 도록 맞,몹시 얻어맞
네 굽 을 놓,말 이나 소 가 네 발 로 뛰
네 굽 을 안 고,말 이나 소 가 매우 빨리 내닫 는 것
네 발 들,두 손 을 들
네 발 을 들,두 손 을 들
네 발 타,네발 짐승 의 고기 를 먹 으면 두드러기 가 나
네 발 을 타,네발 짐승 의 고기 를 먹 으면 두드러기 가 나
네 활개 치,의기양양 하 게 다니 거나 행동 하
네 활개 를 치,의기양양 하 게 다니 거나 행동 하
노굿 이 일,콩 이나 팥 따위 의 꽃 이 피
노루 꼬리 만 하,매우 짧
노루 잠자,깊이 잠들 지 못하 고 여러 번 깨어나 ᄆ
노린 내 나,매우 인색 하 고 이해 타산 이 많 은 사람 의 태도 가 나타나
노린 내 가 나,매우 인색 하 고 이해 타산 이 많 은 사람 의 태도 가 나타나
노린 내 가 나 도록 때리,몹시 때리
노문 놓,미리 알리
노문 을 놓,미리 알리
노상 에 오르,어떤 일 의 진행 과정 에 들어서
노여움 사,남 을 노엽 게 하 여 자기 가 그 영향 을 받
노여움 을 사,남 을 노엽 게 하 여 자기 가 그 영향 을 받
노염 사,남 을 노엽 게 하 여 자기 가 그 영향 을 받
노염 을 사,남 을 노엽 게 하 여 자기 가 그 영향 을 받
노적 담불 에 싸이,곡식 을 많이 쌓 아 두
노총 지르,노총 을 남 에게 알리
노총 을 지르,노총 을 남 에게 알리
노파리 가 나,신 이 나
녹 먹,벼슬 아치 가 되 어 녹봉 을 받
녹 을 먹,벼슬 아치 가 되 어 녹봉 을 받
녹 쌀 내,갈 아서 쌀 알 처럼 되게 하
녹 쌀 을 내,갈 아서 쌀 알 처럼 되게 하
녹초 부르,녹초 가 되
녹초 를 부르,녹초 가 되
논단 에 오르,논의 나 토론 의 대상 이 되
논두렁 베다,빈 털터리 가 되 어 처량 하 게 죽
논두렁 을 베,빈 털터리 가 되 어 처량 하 게 죽
논두렁 죽 음,의지가지없이 빈 털터리 가 되 어 논두렁 이나 베 고 처참 하 게 객사
놀 고 앉 았,상대 방 을 비웃 거나 상대 방 의 행위 를 비아냥거리 ᄆ
놀라 ᆫ 가슴,전 에 놀라 ᆫ 적 이 있 어 별 것 아니 ᆫ 일 에 도 일어나 는 두근거림
놀라 ᆫ 토끼 눈 을 하,뜻 밖 이 거나 놀라 아 눈 을 크 게 뜨
놀라 ᆫ 피,"매우 심하 게 다치 어서 멍 이 든 부위 에 있 는 , 검 게 죽 은 피"
놀라 ᆫ 혼,전 에 놀라 ᆫ 적 이 있 어 별 것 아니 ᆫ 일 에 도 일어나 는 두근거림
놀부 부인,얌치 없 는 여자
놀부 심사,인색 하 고 심술궂 은 마음 씨
놀부 심 보,인색 하 고 심술궂 은 마음 씨
놋 날 드리,빗 발 이 죽죽 쏟아지 는 모양
놋 날 을 드리,빗 발 이 죽죽 쏟아지 는 모양
놓 아 기르 ᆫ 망아지,교양 이 없 고 막돼먹 은 사람
놓 아 기르 ᆫ 망아지 놀,교양 이 없 고 막돼먹 은 사람
놓 아 먹이 ᆫ 망아지,교양 이 없 고 막돼먹 은 사람
놓 아 먹이 ᆫ 망아지 놀,교양 이 없 고 막돼먹 은 사람
뇌성 에 벽력,불행 하 ᆫ 일 이 거듭 생기 ᄆ
누구 를 막론 하 고,누구 이 라 가리 ᆯ 것 없이 모두
누구 를 물론 하 고,누구 이 라 가리 ᆯ 것 없이 모두
누구 입 에 붙이 겠,여러 사람 에게 나누 어 주 어야 하 ᆯ 물건 이 너무 적 을 때 이르 는 말
누구 코 에 바르 겠,여러 사람 에게 나누 어 주 어야 하 ᆯ 물건 이 너무 적 을 때 이르 는 말
누구 코 에 붙이 겠,여러 사람 에게 나누 어 주 어야 하 ᆯ 물건 이 너무 적 을 때 이르 는 말
누구 하 ᆯ 것 없,누구 이 라고 가리 어 말 하 ᆯ 것 이 없이 다 그러 하
누구 하 ᆯ 것 없이,누구 이 라 가리 ᆯ 것 없이 모두
누기 치,축축 하 ᆫ 기운 이 생기
누기 가 치,축축 하 ᆫ 기운 이 생기
누렇 게 뜨,매우 난처 하 ᆫ 일 을 당하 여 어쩌 ᆯ 줄 모르 아 당황 하
누 에 오르,누에 가 고치 를 짓 으려고 섶 에 오르
누에 가 오르,누에 가 고치 를 짓 으려고 섶 에 오르
눈 띄,두드러지 게 드러나
눈 에 띄,두드러지 게 드러나
눈 어리,어떤 모습 이 잊히 지 않 고 머릿 속 에 뚜렷 하 게 떠오르
눈 에 어리,어떤 모습 이 잊히 지 않 고 머릿 속 에 뚜렷 하 게 떠오르
눈 까뒤집,눈 을 뒤집
눈 을 까뒤집,눈 을 뒤집
눈 돌리,관심 을 돌리
눈 을 돌리,관심 을 돌리
눈 뒤집,좋 지 않 은 일 에 열중 하 여 제 정신 을 잃
눈 을 뒤집,좋 지 않 은 일 에 열중 하 여 제 정신 을 잃
눈 똑바로 뜨,정신 을 차리 고 주의 를 기울이
눈 을 똑바로 뜨,정신 을 차리 고 주의 를 기울이
눈 맞추,서로 눈 을 마주 보
눈 을 맞추,서로 눈 을 마주 보
눈 밝히,무엇 을 찾 으려고 신경 을 집중 하 거나 힘 을 넣
눈 을 밝히,무엇 을 찾 으려고 신경 을 집중 하 거나 힘 을 넣
눈 붙이,잠 을 자
눈 을 붙이,잠 을 자
눈 속 이,보 는 사람 이 속아 넘어가 게 하
눈 을 속이,보 는 사람 이 속아 넘어가 게 하
눈 씻 고 보,정신 을 바짝 차리 고 집중 하 여 보
눈 을 씻 고 보,정신 을 바짝 차리 고 집중 하 여 보
눈 씻 고 보 려야 보 ᆯ 수 없,아주 드물 어 찾 기 어렵
눈 을 씻 고 보 려야 보 ᆯ 수 없,아주 드물 어 찾 기 어렵
눈 피하,남 이 보 는 것 을 피하
눈 을 피하,남 이 보 는 것 을 피하
눈 나오,몹시 놀라
눈 이 나오,몹시 놀라
눈 높,정도 이상 의 좋 은 것 만 찾 는 버릇 이 있
눈 이 높,정도 이상 의 좋 은 것 만 찾 는 버릇 이 있
눈 돌아가,놀라 거나 격분 하 여 사리 분별 을 못 하
눈 이 돌아가,놀라 거나 격분 하 여 사리 분별 을 못 하
눈 뒤집히,충격 적 이 ᆫ 일 을 당하 거나 어떤 일 에 집착 하 여 이성 을 잃
눈 이 뒤집히,충격 적 이 ᆫ 일 을 당하 거나 어떤 일 에 집착 하 여 이성 을 잃
눈 많,보 는 사람 이 많
눈 이 많,보 는 사람 이 많
눈 맞,마음 이나 눈 치 가 서로 통하
눈 이 맞,마음 이나 눈 치 가 서로 통하
눈 벌겋,자기 잇 속 만 찾 는 데 에 몹시 열중 하
눈 이 벌겋,자기 잇 속 만 찾 는 데 에 몹시 열중 하
눈 삐,뻔하 ᆫ 것 을 잘못 보 고 있
눈 이 삐,뻔하 ᆫ 것 을 잘못 보 고 있
눈 시,하 는 짓 이 거슬리 어 보 기 에 아니꼽
눈 이 시,하 는 짓 이 거슬리 어 보 기 에 아니꼽
눈 과 귀 가 쏠리,마음 이 끌리 어 열심히 듣 거나 보
눈 길 모으,여러 사람 의 시선 을 집중 시키
눈 길 을 모으,여러 사람 의 시선 을 집중 시키
눈 길 을 거두,보 고 있 던 것 에서 다른 것 으로 눈 을 돌리
눈 깔 까뒤집,눈 을 뒤집
눈 깔 을 까뒤집,눈 을 뒤집
눈 깔 뒤집,눈 을 뒤집
눈 깔 을 뒤집,눈 을 뒤집
눈 깔 나오,눈 이 튀 어 나오
눈 깔 이 나오,눈 이 튀 어 나오
눈 깔 뒤집히,눈 이 뒤집히
눈 깔 이 뒤집히,눈 이 뒤집히
눈 깔 붉,흥분 하 아 이 기 를 쓰 고 덤비
눈 깔 이 붉,흥분 하 아 이 기 를 쓰 고 덤비
눈 깔 삐,눈 이 삐
눈 깔 이 삐,눈 이 삐
눈 깔 에 흙 들어가,눈 에 흙 이 들어가
눈 깔 에 흙 이 들어가,눈 에 흙 이 들어가
눈 깔 을 곤두세우,눈 을 곤두세우
눈 깔 이 곤두서,눈 이 곤두서
눈 깔 이 멀,그릇 되 ᆫ 행동 을 하
눈 깔 이 벌겋,몹시 열중 하 아 있
눈 깜짝 하 ᆯ 사이,매우 짧 은 순간
눈 꺼풀 이 씌,사랑 이나 좋 아 하 는 감정 에 빠지 어 이성 적 으로 판단 하 지 못하
눈 도 거들뜨 어 보 지 않,낮 보 거나 업신여기 어 쳐다보 려고 도 않
눈 도 깜짝 안 하,조금 도 놀라 지 않 고 태연 하
눈 독 들 이,욕심 을 내 어 눈여기 어 보
눈 독 쏘,욕심 을 내 어 눈여기 어 보
눈 독 올리,욕심 을 내 어 눈여기 어 보
눈 독 을 들이,욕심 을 내 어 눈여기 어 보
눈 독 을 쏘,욕심 을 내 어 눈여기 어 보
눈 독 을 올리,욕심 을 내 어 눈여기 어 보
눈 독 들,욕심 이 나 서 눈여기 어 보
눈 독 오르,욕심 이 나 서 눈여기 어 보
눈 독 이 들,욕심 이 나 서 눈여기 어 보
눈 독 이 오르,욕심 이 나 서 눈여기 어 보
눈 동냥 귀 동냥,"주위 나 곁 에서 지식 따위 를 얻 어 보 고 , 얻 어 들 어 갖 게 되 는 일"
눈 동자 가 눈 썹 에 매달리,눈 을 치켜뜨
